2017-12-07 06:20:52.990 [12833] LOG_ALARM -----------------  log4z thread started!   ---------------------------- log4z.cpp:1923
2017-12-07 06:33:55.325 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.28%} broadcast_server.cpp:169
2017-12-07 06:34:05.705 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.60%} broadcast_server.cpp:169
2017-12-07 06:34:15.555 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.17%} broadcast_server.cpp:169
2017-12-07 06:34:26.575 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.29%} broadcast_server.cpp:169
2017-12-07 06:34:37.075 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:34:47.815 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:35:09.045 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.07%} broadcast_server.cpp:169
2017-12-07 06:35:19.395 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:35:30.025 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:35:40.315 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.45%} broadcast_server.cpp:169
2017-12-07 06:36:01.555 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.07%} broadcast_server.cpp:169
2017-12-07 06:36:11.765 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:36:22.475 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:36:33.015 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.30%} broadcast_server.cpp:169
2017-12-07 06:36:43.515 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:36:54.035 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:37:03.535 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.17%} broadcast_server.cpp:169
2017-12-07 06:37:14.085 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.34%} broadcast_server.cpp:169
2017-12-07 06:37:24.845 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:37:35.275 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:37:45.665 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.30%} broadcast_server.cpp:169
2017-12-07 06:37:56.155 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.30%} broadcast_server.cpp:169
2017-12-07 06:38:07.195 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.14%} broadcast_server.cpp:169
2017-12-07 06:38:17.935 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:38:28.545 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.29%} broadcast_server.cpp:169
2017-12-07 06:38:38.604 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.16%} broadcast_server.cpp:169
2017-12-07 06:39:10.044 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.10%} broadcast_server.cpp:169
2017-12-07 06:39:20.374 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:39:30.664 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.30%} broadcast_server.cpp:169
2017-12-07 06:39:41.055 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.16%} broadcast_server.cpp:169
2017-12-07 06:39:51.774 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.16%} broadcast_server.cpp:169
2017-12-07 06:40:23.315 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.06%} broadcast_server.cpp:169
